#time =  2.0000000E+01
#  y     y+     R_uu     R_vv     R_ww     R_uv
  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00
  2.565198406E-03  5.772843439E-01  4.524194306E-03  7.136144844E-07  1.601897470E-03 -2.918811497E-06
  8.166000752E-03  1.837715311E+00  3.918135390E-02  3.693472651E-05  1.116047971E-02 -1.744004559E-04
  1.581402413E-02  3.558862550E+00  1.359733392E-01  3.306506401E-04  2.792936457E-02 -1.496315998E-03
  2.418599733E-02  5.442930874E+00  3.229289800E-01  1.181051960E-03  4.704076343E-02 -5.985758692E-03
  3.183402071E-02  7.164078113E+00  5.865453662E-01  2.499178897E-03  6.589929596E-02 -1.422412188E-02
  3.743482305E-02  8.424509080E+00  8.398479741E-01  3.783034892E-03  8.163804101E-02 -2.320402442E-02
  4.000002146E-02  9.001793424E+00  9.722723000E-01  4.438775235E-03  8.970862574E-02 -2.777259544E-02
  4.000002146E-02  9.001793424E+00  9.722723000E-01  4.438775235E-03  8.970862574E-02 -2.777259544E-02
  5.346730449E-02  1.203253429E+01  1.782968703E+00  8.897293416E-03  1.452826668E-01 -6.118885509E-02
  8.287149803E-02  1.864979265E+01  3.420031548E+00  2.083984828E-02  2.240056896E-01 -1.604254263E-01
  1.230235951E-01  2.768580988E+01  4.732946758E+00  3.807670472E-02  3.348869105E-01 -2.523438801E-01
  1.669764264E-01  3.757716226E+01  4.830472810E+00  5.571881907E-02  4.140376888E-01 -2.906154264E-01
  2.071285234E-01  4.661317950E+01  4.243195051E+00  7.001793644E-02  4.018811903E-01 -2.813443066E-01
  2.365327170E-01  5.323043785E+01  3.625567440E+00  6.833618122E-02  3.897048904E-01 -2.293570100E-01
  2.500000000E-01  5.626117872E+01  3.186100384E+00  6.526038355E-02  3.474813194E-01 -2.118097290E-01
  2.500000000E-01  5.626117872E+01  3.186100384E+00  6.526038355E-02  3.474813194E-01 -2.118097290E-01
  2.692389785E-01  6.059080915E+01  2.646514336E+00  5.847642716E-02  3.064893629E-01 -1.872232538E-01
  3.112449752E-01  7.004403671E+01  1.689617273E+00  4.637129569E-02  2.003185423E-01 -1.367280672E-01
  3.686051220E-01  8.295263459E+01  1.185370852E+00  3.456872822E-02  1.455840542E-01 -9.173659773E-02
  4.313948899E-01  9.708314000E+01  6.889166792E-01  2.636857674E-02  8.879989010E-02 -6.367225275E-02
  4.887550367E-01  1.099917379E+02  4.379100837E-01  2.083321100E-02  6.355266513E-02 -4.406076383E-02
  5.307610334E-01  1.194449654E+02  2.665205420E-01  1.766028079E-02  4.811498852E-02 -3.349980513E-02
  5.500000119E-01  1.237745959E+02  2.081119797E-01  1.676996752E-02  3.873691368E-02 -2.798665148E-02
  5.500000119E-01  1.237745959E+02  2.081119797E-01  1.676996752E-02  3.873691368E-02 -2.798665148E-02
  5.788584777E-01  1.302690411E+02  1.468967082E-01  1.583748473E-02  2.909031286E-02 -2.514598248E-02
  6.418674687E-01  1.444488815E+02  7.554648883E-02  1.502114263E-02  1.874278611E-02 -1.821252621E-02
  7.279076832E-01  1.638117770E+02  3.718970288E-02  1.340297848E-02  1.381055340E-02 -1.082205891E-02
  8.220923287E-01  1.850075337E+02  2.005882883E-02  1.205445519E-02  1.048949087E-02 -3.590886107E-03
  9.081325433E-01  2.043704293E+02  1.620203880E-02  9.824386934E-03  9.732696324E-03 -8.270064006E-04
  9.711415342E-01  2.185502697E+02  1.408070022E-02  8.374477045E-03  8.856352070E-03 -1.639723460E-04
  1.000000000E+00  2.250447149E+02  1.197425348E-02  8.296994597E-03  7.767697844E-03  4.271099295E-04
